location,user_id,session_id,plugin_time,plugout_time,connection_time,energy_session
OSL_S,OSL_S_KT49,sdv-id-VFfIlp,2019-11-16 14:41:28,2019-11-13 20:05:50,8.18006587,4.98
OSL_S,OSL_S_KT202,sdv-id-sNpdAR,2019-03-18 15:34:49,2019-02-27 18:05:36,6.468631,6.26
OSL_S,OSL_S_KT173,sdv-id-BxNjSQ,2019-09-14 18:38:55,2019-09-17 19:43:14,16.39122672,11.19
OSL_S,OSL_S_KT43,sdv-id-FBpwJl,2019-03-22 11:41:23,2019-03-17 01:47:25,6.53131602,29.48
OSL_S,OSL_S_KT169,sdv-id-ejOPow,2020-01-28 14:03:12,2020-01-29 08:51:37,13.26115316,16.09
OSL_S,OSL_S_KT65,sdv-id-kwkmUq,2018-05-31 11:22:27,2018-05-28 11:14:29,13.17743089,4.08
OSL_S,OSL_S_KT43,sdv-id-ddSdyT,2018-07-04 14:36:54,2018-07-16 21:50:14,15.06888962,12.7
OSL_S,OSL_S_KT65,sdv-id-xKewVe,2019-03-24 00:31:22,2019-03-24 09:30:44,2.58828839,1.37
OSL_S,OSL_S_KT45,sdv-id-uDikgI,2018-09-26 04:16:07,2018-09-29 00:18:28,10.18040864,7.21
OSL_S,OSL_S_KT63,sdv-id-dqlFHd,2018-05-30 06:12:23,2018-05-22 12:44:02,2.13029912,11.45
OSL_S,OSL_S_KT95,sdv-id-hnKGKo,2019-01-23 09:25:22,2019-01-26 23:18:40,0.41255025,6.67
OSL_S,OSL_S_KT169,sdv-id-vRMYYL,2018-09-22 19:23:40,2018-09-25 14:36:16,5.35393448,18.23
OSL_S,OSL_S_KT84,sdv-id-ItuPzt,2018-05-25 16:56:18,2018-05-29 11:12:47,14.30913042,2.73
OSL_S,OSL_S_KT164,sdv-id-sqRlGg,2019-09-04 12:49:52,2019-09-11 19:41:07,7.78835768,2.37
OSL_S,OSL_S_KT72,sdv-id-YUHXNT,2018-04-06 05:31:19,2018-04-09 00:38:18,7.97248548,4.66
OSL_S,OSL_S_KT65,sdv-id-AZdvxJ,2019-02-01 15:09:02,2019-01-14 13:24:32,7.22749643,3.25
OSL_S,OSL_S_KT17,sdv-id-aAnCrT,2018-12-02 02:51:03,2018-11-24 02:32:18,5.31960994,21.96
OSL_S,OSL_S_KT137,sdv-id-vEoWYX,2018-02-28 23:38:17,2018-03-01 16:32:14,7.19114379,3.87
OSL_S,OSL_S_KT43,sdv-id-tIoyHw,2019-09-11 20:30:16,2019-09-09 05:21:29,4.11129123,1.13
OSL_S,OSL_S_KT137,sdv-id-kbybnb,2019-08-02 19:31:07,2019-08-10 05:57:27,1.00949377,11.05
OSL_S,OSL_S_KT138,sdv-id-hTwlto,2019-06-16 00:28:21,2019-05-20 05:40:48,10.4666999,31.18
OSL_S,OSL_S_KT112,sdv-id-BUdZIm,2019-06-15 15:14:25,2019-06-17 10:43:31,21.15793342,6.56
OSL_S,OSL_S_KT143,sdv-id-zCdHvS,2018-05-25 00:17:22,2018-05-20 00:15:57,1.28414324,4.03
OSL_S,OSL_S_KT84,sdv-id-yZBPCO,2019-09-19 11:51:03,2019-09-25 03:31:57,11.0529241,13.54
OSL_S,OSL_S_KT143,sdv-id-giGSfj,2019-05-22 11:55:56,2019-05-26 15:45:28,5.51424331,5.93
OSL_S,OSL_S_KT125,sdv-id-RGEzDx,2019-10-18 08:11:21,2019-10-12 01:45:14,6.03577613,19.63
OSL_S,OSL_S_KT164,sdv-id-sGGTeU,2018-07-19 15:35:56,2018-07-27 21:02:49,23.49253142,5.7
OSL_S,OSL_S_KT137,sdv-id-nxQyra,2018-08-15 04:23:34,2018-08-07 15:16:46,9.03641934,3.28
OSL_S,OSL_S_KT95,sdv-id-RFoFSt,2019-03-30 11:05:49,2019-03-30 05:49:36,6.93848013,9.23
OSL_S,OSL_S_KT162,sdv-id-GhSYcv,2018-02-14 09:56:24,2018-02-14 14:03:20,9.73990526,15.99
OSL_S,OSL_S_KT173,sdv-id-IQnfLa,2020-01-31 18:33:09,2020-02-01 04:00:04,7.10624743,20.39
OSL_S,OSL_S_KT43,sdv-id-NxmqJD,2019-06-14 02:01:19,2019-06-26 02:15:00,10.06125456,6.63
OSL_S,OSL_S_KT45,sdv-id-ZnhoQK,2018-02-28 16:20:35,2018-03-03 06:10:44,10.42436771,13.02
OSL_S,OSL_S_KT140,sdv-id-dslTdL,2018-02-25 07:22:07,2018-02-27 05:22:16,7.25375684,6.62
OSL_S,OSL_S_KT77,sdv-id-PFogFg,2019-11-29 01:17:52,2019-11-30 22:08:23,4.86023715,19.71
OSL_S,OSL_S_KT63,sdv-id-RjSfjj,2018-03-10 00:58:04,2018-03-06 14:27:40,4.34216225,5.36
OSL_S,OSL_S_KT72,sdv-id-sXiziQ,2019-06-20 08:16:37,2019-06-26 16:02:35,6.90892795,13.48
OSL_S,OSL_S_KT169,sdv-id-oVuJUw,2019-11-01 14:55:13,2019-11-02 22:34:24,2.31363708,23.14
OSL_S,OSL_S_KT49,sdv-id-jjNWZP,2018-11-09 12:11:17,2018-11-03 06:11:44,12.05212278,7.43
OSL_S,OSL_S_KT137,sdv-id-tbtnLU,2018-03-01 14:26:21,2018-03-05 01:41:51,28.76031472,40.41
OSL_S,OSL_S_KT59,sdv-id-jhicBn,2019-01-18 01:32:16,2019-01-07 12:06:58,9.27991201,4.45
OSL_S,OSL_S_KT112,sdv-id-YpaRJf,2018-12-08 01:55:43,2018-12-09 12:01:16,33.05743095,23.09
OSL_S,OSL_S_KT143,sdv-id-vdTKKT,2019-09-25 05:04:40,2019-09-23 12:59:53,6.0026106,11.57
OSL_S,OSL_S_KT94,sdv-id-eUlhbS,2019-09-04 08:35:56,2019-08-28 23:17:30,2.35457716,4.6
OSL_S,OSL_S_KT146,sdv-id-EhZMMX,2019-12-05 00:36:27,2019-12-10 00:33:42,21.04286618,4.11
OSL_S,OSL_S_KT173,sdv-id-DPeSie,2018-04-01 06:35:30,2018-03-31 15:12:12,38.12020521,11.33
OSL_S,OSL_S_KT169,sdv-id-kvHSZg,2019-06-21 16:08:41,2019-07-03 01:40:44,4.21148368,13.04
OSL_S,OSL_S_KT63,sdv-id-siAYwL,2019-05-05 19:37:51,2019-05-15 20:39:29,2.12908082,8.35
OSL_S,OSL_S_KT17,sdv-id-sGzNTo,2019-10-29 11:15:46,2019-11-02 21:25:35,8.53216057,5.58
OSL_S,OSL_S_KT49,sdv-id-CrtcQw,2019-02-19 08:11:55,2019-02-24 04:56:48,7.43369089,18.32
OSL_S,OSL_S_KT49,sdv-id-ljlXhn,2019-08-27 04:11:29,2019-08-16 05:57:23,18.75096458,15.27
OSL_S,OSL_S_KT173,sdv-id-pxlBBr,2019-01-14 14:32:42,2019-01-18 12:30:12,11.15272377,9.7
OSL_S,OSL_S_KT63,sdv-id-PlMhpr,2018-10-13 16:58:16,2018-10-26 14:34:40,12.57838648,18.43
OSL_S,OSL_S_KT43,sdv-id-oxnxmc,2018-05-19 09:09:32,2018-05-25 12:22:03,5.53816624,2.93
OSL_S,OSL_S_KT146,sdv-id-fHAQxq,2018-02-24 13:24:47,2018-02-24 09:15:38,5.47685147,25.36
OSL_S,OSL_S_KT143,sdv-id-RwBEjX,2019-07-23 13:32:20,2019-07-30 07:35:27,4.90569182,7.64
OSL_S,OSL_S_KT162,sdv-id-nfncmt,2018-08-28 09:41:16,2018-09-01 05:22:28,2.23641199,1.37
OSL_S,OSL_S_KT43,sdv-id-xKveAO,2019-04-18 15:57:14,2019-04-26 15:32:54,4.78622889,3.5
OSL_S,OSL_S_KT95,sdv-id-bqQLXD,2018-06-11 02:09:58,2018-06-09 21:25:00,1.32649448,11.12
OSL_S,OSL_S_KT63,sdv-id-wDKqIK,2019-06-29 16:59:14,2019-06-29 01:51:36,4.00169219,23.7
OSL_S,OSL_S_KT43,sdv-id-NzVFUp,2018-08-01 06:51:45,2018-08-08 01:47:05,3.60969049,1.94
OSL_S,OSL_S_KT202,sdv-id-mPlGky,2019-04-26 14:56:42,2019-04-26 11:20:45,11.0030593,8.31
OSL_S,OSL_S_KT17,sdv-id-eNULOM,2018-06-03 13:23:44,2018-06-16 15:35:14,4.08776082,21.82
OSL_S,OSL_S_KT59,sdv-id-ovpVrx,2019-06-06 07:18:15,2019-06-12 06:48:32,29.32238608,22.29
OSL_S,OSL_S_KT49,sdv-id-zEYhbC,2019-06-16 06:16:50,2019-06-14 09:02:26,13.87373525,9.42
OSL_S,OSL_S_KT84,sdv-id-fwEmDp,2019-01-10 00:30:20,2019-01-17 15:59:34,7.1725992,10.39
OSL_S,OSL_S_KT45,sdv-id-oAyxQM,2020-01-07 19:55:31,2020-01-01 21:46:43,9.99819896,14.35
OSL_S,OSL_S_KT146,sdv-id-MFUNAj,2019-02-13 00:42:21,2019-02-11 06:47:34,5.81949564,3.91
OSL_S,OSL_S_KT84,sdv-id-exqrvW,2019-06-21 17:19:35,2019-06-14 15:51:43,1.26880072,7.07
OSL_S,OSL_S_KT49,sdv-id-ZUmVpc,2018-10-20 18:00:26,2018-11-05 14:31:58,10.59277925,15.66
OSL_S,OSL_S_KT138,sdv-id-EbwQAz,2018-08-20 02:47:15,2018-08-17 21:13:23,36.51079906,14.0
OSL_S,OSL_S_KT95,sdv-id-sSllYp,2019-11-19 09:08:46,2019-11-22 16:46:39,6.49814446,26.53
